1,Іваненко Петро Олексійович,1990-05-14,4,1
2,Павленко Сергій Іванович,1992-08-21,5,2
3,Коваленко Андрій Володимирович,1988-11-30,6,3
4,Остапенко Олег Васильович,1995-02-14,3,1
5,Мельник Дмитро Сергійович,1993-07-19,2,2
6,Іваненко Петро Олексійович,1990-05-14,4,1
7,Павленко Сергій Іванович,1992-08-21,5,2
8,Коваленко Андрій Володимирович,1988-11-30,6,3
9,Остапенко Олег Васильович,1995-02-14,3,1
10,Мельник Дмитро Сергійович,1993-07-19,2,2
11,Гриценко Олександр Михайлович,1991-03-25,4,1
12,Сидоренко Василь Петрович,1994-06-17,5,2
13,Бондаренко Володимир Ігорович,1996-12-05,3,3
14,Ткаченко Максим Олексійович,1997-09-28,2,1
15,Романенко Андрій Сергійович,1990-04-15,6,2
16,Дмитренко Олег Олександрович,1989-08-11,7,3
17,Захарченко Іван Михайлович,1995-10-30,4,1
18,Мазуренко Петро Дмитрович,1992-05-18,3,2
19,Федоренко Сергій Вікторович,1993-11-24,5,3
20,Кравченко Юрій Олексійович,1991-07-22,2,1
21,Климчук Андрій Олегович,1987-02-06,6,2
22,Котенко Олександр Сергійович,1998-06-19,3,3
23,Щербина Дмитро Іванович,1994-09-12,7,1
24,Білоус Віталій Олександрович,1990-10-10,4,2
25,Куликов Ігор Васильович,1995-12-20,5,3
26,Марченко Павло Володимирович,1993-01-09,2,1
27,Гончаренко Михайло Сергійович,1996-07-29,6,2
28,Кириленко Василь Олегович,1992-11-17,3,3
29,Семенов Іван Олександрович,1997-08-25,7,1
30,Петренко Андрій Юрійович,1989-05-03,4,2
31,Лисенко Олег Миколайович,1994-03-16,5,3
32,Юрченко Сергій Володимирович,1991-12-08,2,1
33,Морозенко Дмитро Іванович,1990-07-05,6,2
34,Овчаренко Олександр Павлович,1993-06-21,3,3
35,Степаненко Ігор Олександрович,1998-04-14,7,1
36,Гладченко Віталій Дмитрович,1996-02-27,4,2
37,Буряк Петро Сергійович,1995-11-30,5,3
38,Савченко Микола Олександрович,1992-01-15,2,1
39,Даниленко Олег Петрович,1997-10-23,6,2
40,Рябченко Іван Юрійович,1993-09-01,3,3
41,Герасименко Павло Олексійович,1991-05-07,7,1
42,Гришко Дмитро Іванович,1990-12-14,4,2
43,Козаченко Олександр Сергійович,1995-06-08,5,3
